,Enc hidden size,Enc Embedding size,Dec Embedding size,Dense Layer size,Dense Layer size aa,Drop rate,Drop rate aa
0,410.0,164.0,85.0,166.0,104.0,0.1,0.5
1,203.0,54.0,60.0,146.0,54.0,0.0,0.8
2,453.0,236.0,229.0,186.0,110.0,0.6,0.6
3,367.0,193.0,190.0,238.0,30.0,0.9,0.1
4,63.0,177.0,208.0,250.0,163.0,0.2,0.6
5,122.0,109.0,155.0,208.0,183.0,0.6,0.9
6,288.0,39.0,93.0,92.0,133.0,0.5,0.2
7,244.0,209.0,168.0,67.0,189.0,0.8,0.4
8,267.0,83.0,121.0,128.0,232.0,0.4,0.3
9,166.0,95.0,137.0,111.0,208.0,0.7,0.7
10,360.0,249.0,258.0,32.0,83.0,0.2,0.3
11,505.0,137.0,33.0,78.0,259.0,0.4,0.1
